Название,Ссылка,Габариты(ширина),Габариты(глубина),Габариты(высота),Спальная ширина,Спальная глубина,Механизм,Бельевой ящик,Наполнитель,Материал каркаса,Ткань,Подлокотники,Декоративные подушки,Срок службы(годы),Гарантия(месяцы),Конфигурация,Вес(кг),Нагрузка(кг),Цена(рубли)
Угловой диван NORD 2.0 Велюр Alkantara пепел,https://mnogomebeli.com/divany/nord/divan-nord-uglovoy/!uglovoy-divan-nord-alkantara-pepel/,282,150,90,240,144,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,нет,10,18,Угловой,177,240,39999
П-образный диван KING MODOOL Велюр Alkantara пепел,https://mnogomebeli.com/divany/king/king-modul/modulnyy-p-obraznyy-divan-king-modool/modulnyy-p-obraznyy-divan-king-modool-velyur-alkantara-/!p-obraznyy-divan-king-modool-velyur-alkantara-pepel/,370,159,82,320,155,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,нет,10,36,П-образный,222,240,82995
Диван NORD mini Велюр Alkantara оранж,https://mnogomebeli.com/divany/nord/divan-nord-mini-alkantara/!divan-nordr-mini-velyur-alkantara-oranzh/,203,100,91,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,нет,10,18,Прямой,99,240,26999
Диван Атланта 2.0 НПБ рогожка Malmo серый,https://mnogomebeli.com/divany/pryamye-divany/atlanta-npb-malmo/!divan-atlanta-npb-rogozhka-malmo-seryy/,235,105,87,196,140,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Прямой,115,240,24999
Диван BOSS 2.0 шенилл IQ кварц,https://mnogomebeli.com/divany/pryamye-divany/divan-boss-shenill-iq/!divan-boss-2-0-shenill-iq-kvarts/,235,110,89,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",шенилл IQ,Да,1,10,36,Прямой,137,240,52999
Диван BOSS 2.0 MINI велюр Monolit синий,https://mnogomebeli.com/divany/pryamye-divany/boss-mini-monolit/!boss-mini-monolit-indigo/,203,100,93,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,нет,10,36,Прямой,96,240,29999
Угловой диван BOSS 3.0 XL велюр Alkantara серый,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-boss-xl-alkantara/!uglovoy-divan-boss-xl-velyur-alkantara-seraya/,285,156,96,225,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,2,10,36,Угловой,197,240,54999
Диван BOSS 2.0 LOFT велюр Monolit латте,https://mnogomebeli.com/divany/pryamye-divany/boss-loft-monolit/!divan-boss-loft-se-velyur-monolit-latte/,220,110,90,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,1,10,36,Прямой,138,240,39999
Диван BOSS 2.0 LOFT велюр Monolit сталь,https://mnogomebeli.com/divany/pryamye-divany/boss-loft-monolit/!divan-boss-2-0-loft-velyur-monolit-stal/,220,110,90,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,1,10,36,Прямой,138,240,39999
Диван BOSS 2.0 LOFT велюр Monolit серый,https://mnogomebeli.com/divany/pryamye-divany/boss-loft-monolit/!divan-boss-loft-velyur-monolit-seryy/,220,110,90,200,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Monolit,Да,1,10,36,Прямой,138,240,39999
Угловой диван BOSS 3.0 Classic XL велюр Alkantara оранж,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-boss-classic-xl-alkantara/!uglovoy-divan-boss-classic-xl-velyur-alkantara-oranzh/,263,156,96,225,150,Еврокнижка,Да,"ППУ, независимые пружины","фанера, древесные плиты",велюр Алькантара,Да,2,10,36,Угловой,197,240,54999
Угловой диван Dandy 2.0 рогожка Malmo платина,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-dandy-rogozhka-malmo/!uglovoy-divan-dandy-2-0-rogozhka-malmo-platina/,235,165,89,200,145,Over Step 2.0,Да,"ППУ, независимые пружины","фанера, древесные плиты",рогожка Malmo,Да,нет,10,18,Угловой,155,240,32999
